Date,Open,High,Low,Close,Vol.,Change %,sent_score,sent-1,sent-3,sent-7,Close+1,Close+3,Close+7
2022-11-03,20154.0,20384.5,20066.6,20206.4,347230000.0,0.26,3.469446951953614e-18,-0.11904761904761904,-0.10067155067155066,-0.14614819704105417,21145.9,20916.3,17589.1
2022-11-04,20206.4,21281.9,20184.6,21145.9,499500000.0,4.65,-0.007692307692307687,3.469446951953614e-18,-0.046825396825396826,-0.12796637885923598,21301.6,20589.0,17049.9
2022-11-05,21145.7,21464.7,21084.1,21301.6,261230000.0,0.74,0.012500000000000004,-0.007692307692307687,-0.04224664224664224,-0.10138670852956566,20916.3,18527.4,16795.2
2022-11-06,21298.7,21360.4,20901.0,20916.3,242260000.0,-1.81,0.1,0.012500000000000004,0.0016025641025641073,-0.08531527995813708,20589.0,15886.9,16324.5
2022-11-07,20916.3,21055.4,20410.5,20589.0,414240000.0,-1.5599999999999998,-0.17500000000000002,0.1,0.034935897435897444,-0.028172422815279947,18527.4,17589.1,16613.7
2022-11-08,20589.0,20667.5,17260.0,18527.4,865100000.0,-10.01,-0.03571428571428571,-0.17500000000000002,-0.020833333333333332,-0.030095499738356873,15886.9,17049.9,16895.1
2022-11-09,18538.9,18583.8,15603.3,15886.9,869570000.0,-14.25,-0.15294117647058825,-0.03571428571428571,-0.036904761904761905,-0.03213631606488748,17589.1,16795.2,16540.5
2022-11-10,15887.0,18138.2,15799.3,17589.1,720740000.0,10.71,-0.14666666666666667,-0.15294117647058825,-0.121218487394958,-0.036978252839597374,17049.9,16324.5,16691.2
2022-11-11,17589.1,17679.4,16435.5,17049.9,466350000.0,-3.07,-0.11333333333333333,-0.14666666666666667,-0.11177404295051353,-0.05793063379197832,16795.2,16613.7,16638.3
2022-11-12,17049.9,17100.8,16633.9,16795.2,192910000.0,-1.49,-0.3666666666666667,-0.11333333333333333,-0.13764705882352943,-0.07302220888355342,16324.5,16895.1,16699.2
2022-11-13,16803.9,16946.5,16274.9,16324.5,210800000.0,-2.8,-0.22499999999999998,-0.3666666666666667,-0.2088888888888889,-0.1271888755502201,16613.7,16540.5,16286.7
2022-11-14,16325.0,17158.4,15834.0,16613.7,442460000.0,1.77,-0.09999999999999999,-0.22499999999999998,-0.23500000000000001,-0.1736174469787915,16895.1,16691.2,15776.200000000003
